id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6LKjIAHCnZjaB4BfEIFHrW,church,6,54,424755,0.571,0.736,9,-5.633,1,0.0341,0.00056,0.0,0.494,0.105,121.985,4
1wuqCUWHniGdEmOKZbQ1cg,church,6,60,405914,0.124,0.437,2,-8.21,1,0.0409,0.0128,0.0,0.12,0.103,80.889,5
2FJYXPlTmFPAjTwPS1bMnw,church,6,58,306253,0.367,0.739,11,-7.987,1,0.0411,0.103,0.0,0.0912,0.328,175.877,4
4ElNxglBjcrASiGn58t9Jm,church,6,64,229760,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,4
2VuwpxQR7rTPWkoLkpANdz,church,6,58,267906,0.444,0.778,0,-3.037,1,0.0324,0.051,0.0,0.269,0.42,148.044,4
63bmZnBN1CiJ9sA4qTEe8y,church,6,77,199320,0.433,0.431,2,-6.422,1,0.0367,0.169,0.0,0.307,0.722,177.732,4
3paOSlqrFcMhdGDZ5513AJ,church,6,67,181453,0.647,0.376,7,-5.299,1,0.0273,0.228,0.0,0.158,0.7,137.863,4
1xO7tp4J5Wj0NeKrzIpd1V,church,6,81,198529,0.704,0.482,9,-5.352,1,0.0349,0.211,0.0,0.3,0.604,102.01,4
0UXlu64mDLvfzR8IXMz06J,church,6,85,185723,0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953,4
787cootcZRw5Xr47Of97AN,church,6,0,255160,0.335,0.582,5,-5.09,1,0.0375,0.379,2.67e-05,0.0954,0.151,110.522,4
4LnHfZGEitmIVS17wndaUI,church,6,60,244040,0.42,0.823,1,-4.889,1,0.0434,0.00985,0.0,0.103,0.517,163.997,4
4r5yle9whdWDsA6ApFGaZj,church,6,64,211069,0.543,0.538,0,-8.262,1,0.0289,0.134,0.0,0.819,0.301,135.822,4
4asTccqkv3G7KSKdy7QGED,church,6,43,241933,0.69,0.482,7,-8.246,1,0.0273,0.405,0.0,0.152,0.386,122.898,4
57ifvUopbuDoMNpgSD6PzV,church,6,44,232853,0.637,0.547,3,-8.637,1,0.0364,0.315,0.0,0.132,0.479,137.99,4
6uExMEig887UmyXoFqdyOW,church,6,63,330787,0.528,0.395,1,-7.168,0,0.0288,0.416,0.0,0.794,0.0909,120.981,4
14HrSWGYPCDwqAcVFUYKsq,church,5,56,348893,0.443,0.819,11,-6.61,1,0.0615,0.00338,0.016,0.696,0.0983,116.033,4
0CbDc6JeCKQGYVAI89abdm,church,5,60,219427,0.618,0.591,11,-7.666,1,0.0364,0.291,0.0,0.121,0.451,125.969,4
2HFi7awvXr2IPFX1j2D9IA,church,5,0,293331,0.28,0.737,11,-3.938,1,0.0414,0.038,0.0,0.124,0.155,155.884,3
3g7bn09uvp9jkMAW0jXOms,church,5,62,308000,0.491,0.416,0,-6.801,1,0.0289,0.0512,0.0,0.0947,0.0977,136.943,3
2pYazEOXRSlMfxZzrelFbu,church,5,50,287532,0.375,0.798,1,-5.495,1,0.0497,0.00125,0.0,0.117,0.316,161.794,4
2elEVvWjPZltkotzcCwKvM,church,5,62,514665,0.411,0.562,11,-8.152,1,0.0362,0.0407,0.0,0.222,0.197,140.015,4
2RuUAwOz2vyArTaiMQUL7j,church,5,61,242401,0.449,0.67,7,-6.409,0,0.0458,0.299,0.0,0.0881,0.21,171.947,4
1MX4dx6yNvAH2GjIVsUF4h,church,5,52,490000,0.377,0.31,10,-10.067,1,0.029,0.065,0.0,0.114,0.145,140.212,4
4PYOh644yKjYyvyVUHqcof,church,5,59,290413,0.39,0.457,9,-7.915,1,0.0327,0.0874,8.9e-06,0.123,0.145,143.977,3
6fdglWE2qycjtz0JlW94HW,church,5,60,432053,0.453,0.758,8,-7.681,1,0.0541,0.03,2.03e-06,0.181,0.184,75.918,4
0fPwregqch9wLJj4yQH6Bk,church,5,59,499507,0.315,0.452,2,-8.387,1,0.0326,0.0315,0.0,0.686,0.112,138.909,4
1z5xgcRgxxGEKrXUCEFpA9,church,5,59,409987,0.268,0.697,8,-5.886,1,0.0422,0.0212,4.58e-06,0.38,0.112,144.01,4
3vk0GnIa9jp1B00felbJQE,church,5,56,487506,0.317,0.666,9,-5.809,1,0.0365,0.343,0.0,0.314,0.179,135.784,4
0eI19vR5WZ12fuYcEFUVkw,church,5,62,258453,0.516,0.905,11,-5.613,1,0.0399,0.000479,0.0,0.198,0.612,129.999,4
4908mwb34dqgcaxHeFjitw,church,5,7,211600,0.437,0.647,9,-5.371,1,0.0371,0.0178,0.0,0.106,0.218,176.032,4
2XEdrmqNM9ZQQ24ViuceB0,church,5,59,223427,0.595,0.894,11,-4.115,1,0.0323,0.000583,1.24e-06,0.326,0.643,101.987,4
