436571,15BIjaacvCfjggc0PKu07B,Rendido Estou (Arms Open Wide),Aline Barros,https://i.scdn.co/image/ab67616d000048513d473af5aecfcbfc788493b3
432006,4wfpTbW7rILRvUBU2yODW5,Fábrica - Live From Brazil,Legião Urbana,https://i.scdn.co/image/ab67616d0000485163b166c4ad1ea835701e871c
153275,47j0rhDZXAMMI7apSAOnZ7,Crazy - Live Version,Aerosmith,https://i.scdn.co/image/ab67616d00004851d565a478463610e6fd0f9ff8
437482,0Ari6yg3wuIi6zxpRQC3f2,Rendido Estou (Arms Open Wide),Fernandinho; Bruna Karla; Aline Barros,https://i.scdn.co/image/ab67616d00004851177cc212235c38e4ec0651d5
253874,2iWjzIsHn24b4QnOK8PaF3,Buitres - En Vivo,Buitres; Trotsky Vengarán,https://i.scdn.co/image/ab67616d00004851b9ef47d76be55f80f711b82a
432000,1qawhtWvX8lfkxqzigtSwT,Daniel Na Cova Dos Leões - Live From Brazil,Legião Urbana,https://i.scdn.co/image/ab67616d0000485163b166c4ad1ea835701e871c
320094,5EIze4IaCsVCKWJilp2zwY,"2000 Years - Live at Madison Square Garden, New York, NY - December 31, 1999",Billy Joel,https://i.scdn.co/image/ab67616d0000485174b8d1f671e22f3bb166ded3
491173,4VdZkFm1R6DSIpFWng5FoW,Never Tear Us Apart - Live,INXS,https://i.scdn.co/image/ab67616d000048513584b98b7cad9e21e79e1719
182879,4RLSGyLy3rTcVR3VxSRnuZ,Medley: Exit / Gloria - Live,U2,https://i.scdn.co/image/ab67616d00004851b7bea3d01f04e6d0408d2afe
259482,1SgWcRPoRS1WG1oJ35ZHiv,Die By The Sword,Slayer,https://i.scdn.co/image/ab67616d00004851161b33586d9e8611bed4877d
198421,7Jb2AXgFKcPeHIoLhiGzez,El Poder de Tu Amor - Cúbreme,Ingrid Rosario,https://i.scdn.co/image/ab67616d00004851cefe1d7aae8245597fe434fb
92034,7KFeoF0B0F1hIrk6OAIYkm,Why Why Why - Live 2019,The Kelly Family,https://i.scdn.co/image/ab67616d000048512aef39c06ea04185251e7a6b
350535,7IjUge7VMjnd1e85mW1Nb8,"Blanco y negro - Rosendo, Barricada y Aurora Beltrán directo 2008",Barricada; Rosendo,https://i.scdn.co/image/ab67616d000048517dc2501b27a8ba9bcdf7c857
175019,4Lgj2JWNhM5DTWAMhz34AS,Sampo,Amorphis,https://i.scdn.co/image/ab67616d00004851026a2b2cb4e98b66048640e5
205159,1JBaMUXZwMbDNBmhFQYMGM,Save Me - Live In Montreal / November 1981,Queen,https://i.scdn.co/image/ab67616d00004851a0eaac3fbe5e4a9d92360c59
92119,30XLxB7GIM8wBPwUUmmhdO,The Wolf - Live 2019,The Kelly Family,https://i.scdn.co/image/ab67616d000048512aef39c06ea04185251e7a6b
474932,04JZ1YOZlnU4PTxeoWaU8V,Zona De Promesas - Me Verás Volver Gira 2007,Soda Stereo,https://i.scdn.co/image/ab67616d00004851219643d9e55befe5809ababd
253662,6bFyQCxeqhJNgDt7dH2SL4,Tu Viejita - En Vivo,Trotsky Vengarán,https://i.scdn.co/image/ab67616d000048517957598c80847ee4c6968a2e
156980,4eRSrpFOgXugLRH0odKDej,Mi Peor Error - Primera Fila [En Vivo],Alejandra Guzman,https://i.scdn.co/image/ab67616d0000485119225d9cebd0bde3795cce82
308918,0iOJlD0ZmKW6vFQ5KdgVWU,"Hvad Gør Vi Nu, Lille Du","""Gasolin""",https://i.scdn.co/image/ab67616d00004851d47234cf5f70cd79c0ddb365
492446,23te6WdmE536w4pnaz5iqw,Am I Ever Gonna See Your Face Again - Live,The Angels,https://i.scdn.co/image/ab67616d000048514ab62d70c07e20c88ed1aa6f
298355,5DCjoOdmN3qvixCIwFU1yP,Save Me - Live In Montreal / November 1981,Queen,https://i.scdn.co/image/ab67616d0000485107744e2ed983efa3e6620a47
460438,3oTRjvsiKy6uhHmt0nMsJj,Cendrillon - Live,Louis Bertignac,https://i.scdn.co/image/ab67616d000048516e6842ce38bcce7cdcf4f6de
92168,7n8nvPegHHdI2HTuCCeYBQ,Never Gonna Break Me Down - Live 2019,The Kelly Family,https://i.scdn.co/image/ab67616d000048512aef39c06ea04185251e7a6b
253612,6WH2kMO7ZILOX2ueIYEtat,Me Agarré el Pitito Con el Cierre,El Cuarteto De Nos,https://i.scdn.co/image/ab67616d00004851bc23563c2549cafb25886c8f
205049,6p75d9NZeLWsr22br9mST3,"Spread Your Wings - Live, European Tour / 1979",Queen,https://i.scdn.co/image/ab67616d00004851655f330280ab2b4913c33a81
192342,0ujx5OXBwZCWmAhnpBzri5,Tuesday's Gone - Live At The Fox Theater/1976,Lynyrd Skynyrd,https://i.scdn.co/image/ab67616d00004851c7192bb4b2e852ed84881942
120556,714EVeZDa1XhlZGNsqYPy2,Bullet The Blue Sky - Live - Rattle & Hum Version,U2,https://i.scdn.co/image/ab67616d000048513f4be7b80314bc44154f2e1a
426185,0cUykMuMtH51nhbRj11alZ,"Land of a Thousand Words - Live At The O2, London, UK / 2007",Scissor Sisters,https://i.scdn.co/image/ab67616d00004851a761746aef7917f7125ac03f
349197,7tiZBC1vOZLnXWb03m7DIf,Agradecido - Directo 99,Rosendo,https://i.scdn.co/image/ab67616d000048514ec46c5ae1584f908eca5ae0
254445,4i3gnxuqstxIUvnIZVDarh,Sueles Dejarme Solo - Me Verás Volver Gira 2007,Soda Stereo,https://i.scdn.co/image/ab67616d00004851219643d9e55befe5809ababd
241972,0FXzyzshOo6kjMCeZADeFz,"I Know It's Over - Live in London, 1986; Extended Mix",The Smiths,https://i.scdn.co/image/ab67616d00004851a8daeaf94d82482223742b12
376143,7fsJHcPrWxK3s3pdbrMfy2,"We Will Rock You - Live, European Tour / 1979",Queen,https://i.scdn.co/image/ab67616d00004851655f330280ab2b4913c33a81
281706,1r4WemFPBH8RWv64ZADiSj,Afterglow - Live From Palais des Sports 1977,Genesis,https://i.scdn.co/image/ab67616d000048516aed7e303fa653f4ac749927
201003,0tPQlzcWl1l5YC2MLVBrsZ,Light Side Of The Harmony (FYH 200 Anthem) [FYHYM2020],Andrew Rayel,https://i.scdn.co/image/ab67616d000048512105e243ed31630542031dc6
573823,3b1EwUCfOfYfmzIpUNoXxC,Blessed,Hillsong Worship,https://i.scdn.co/image/ab67616d000048514f7efa8f0c494356b96797bd
156005,138uV6HL4t0LMTBjd0jUbI,Te Puedo Sentir,Alex Campos,https://i.scdn.co/image/ab67616d00004851611c88d3141fbd6a6b0b3d0e
554907,72Dap1irKwKvy5yNBaivpk,45,ELLEGARDEN,https://i.scdn.co/image/ab67616d000048513019f2e399fd87b5f5f0ca6e
421349,06Z6Ym74EJtfF7w5RHgLL9,Scum,The Penetraitors,https://i.scdn.co/image/ab67616d000048516bfd6b8f4ea229a8bbd636dc
377795,0hPgzRlXnBLrnEi1pbkKyD,Poep in Je Hoofd,de Raggende Manne,https://i.scdn.co/image/ab67616d00004851fa04299f2fe437bf58cf1e56
308914,7JEJdcid6OT5JoSSzR4d2Q,Kina Rock,"""Gasolin""",https://i.scdn.co/image/ab67616d00004851d47234cf5f70cd79c0ddb365
272711,0cIiTrnxXykYoZ3GFfEvPp,Paradise,Beyond,https://i.scdn.co/image/ab67616d000048517306a7d7ba5d6f48bf5d0963
318598,0cDPsnYV3OahXiacB1OEyn,Dimitry,HAM,https://i.scdn.co/image/ab67616d000048510a867dfde5186397c3815a5d
233916,51qDqdcvwtupTiLe4NqZxo,Sheena Is a Punk Rocker,Ramones,https://i.scdn.co/image/ab67616d000048513bc69bf2b7e52309845d7a1e
91926,5L7ge1RYPPhLyzXKTSdXjb,Comfortably Numb - 2019 remix [Live],Pink Floyd,https://i.scdn.co/image/ab67616d00004851517026f63a9ca883218ed792
118168,4r8RU5HQen9mj1GecekatQ,Shes So Fine,Thunder,https://i.scdn.co/image/ab67616d000048512ac24eb20eb72520abb8337f
283494,7GNHKuNYW1NzQkqfv0OviI,Of Dream and Drama (Midnight Ride),Moonspell,https://i.scdn.co/image/ab67616d00004851b01cdea274dd654d0aabb17b
328095,4z7ft7hxuZVg2g9WTz7suk,Leedvermaak,Andre Hazes,https://i.scdn.co/image/ab67616d00004851f67159f156c2fbb2d45eb549
91946,7gkYyPzHSzINK0PdNS5ehL,On the Turning Away - 2019 remix [Live],Pink Floyd,https://i.scdn.co/image/ab67616d00004851517026f63a9ca883218ed792
86054,0VoCHPDOc1a0VjvQugiuui,"Prahara - Live at Jakarta Convention Center, Plenary Hall, Senayan, 2013",Kla Project,https://i.scdn.co/image/ab67616d00004851d6df5c94ddc9b3adbd173afd
348117,6uHguwKhGBfgVsx3E1BbjG,Berlín,La Unión,https://i.scdn.co/image/ab67616d000048517d66a76bcdcb0f7625ae7378
490800,13eYZzDn9mRoWqWjEXReSb,"Rhiannon - Live 1980, London, England",Fleetwood Mac,https://i.scdn.co/image/ab67616d000048519e08039645e3483e03ddf993
347630,5y9LM59oLJKsByfwCVK31g,Tentando A La Suerte,Barricada,https://i.scdn.co/image/ab67616d00004851f3dba292bf8bb98b2564d964
472894,0Cui939JdNK4fa2L0exvF0,"Mystify - Live At Wembley Stadium, 1991",INXS,https://i.scdn.co/image/ab67616d00004851aa2751988008895d5f666086
572323,0o1VwD3eRH7gXfTdg6VZWb,Band On The Run - Live,Paul McCartney,https://i.scdn.co/image/ab67616d00004851afd23952d0915fba9b595452
318635,3uCu6F2HwWRUjlUxMzsIsT,The Unforgiven - Live In Mexico City,Metallica,https://i.scdn.co/image/ab67616d00004851f003fc67301640e0e99a77eb
306446,39DMc8KWLN3TlxVUZbX5M0,Goodtime Charlie,"""Gasolin""",https://i.scdn.co/image/ab67616d000048519fde6588b3da9846c12afb96
62194,4TTxKh1FnnGEeGWK2s8xBa,Am I Ever Gonna See Your Face Again - Live,The Angels,https://i.scdn.co/image/ab67616d00004851590cb28ef55326e8ad3a7d11
253629,0v76xVp34bLQx298UAJQN8,Otra Vez - En Vivo,Trotsky Vengarán,https://i.scdn.co/image/ab67616d000048517957598c80847ee4c6968a2e
342626,2EU5LDgtGnh8RTz7VGlGoR,Angels,Robbie Williams,https://i.scdn.co/image/ab67616d00004851b09bf3dd54b93211fa3e9734
191977,1NirxLSKu20b1Y8H6abhep,Let It Grow - Live At Hammersmith,Eric Clapton,https://i.scdn.co/image/ab67616d00004851d752956b8a82ffa07baa835e
177796,21MtQ0YiLgztPJMyhLVa9m,"Comfortably Numb - 2019 Remix, Live",Pink Floyd,https://i.scdn.co/image/ab67616d000048519b0f713885a4cdf27711c24a
177819,1ij3aSnsgHekbPWex5iKQz,"On The Turning Away - 2019 Remix, Live",Pink Floyd,https://i.scdn.co/image/ab67616d000048519b0f713885a4cdf27711c24a
424767,7pdgTPXY3hzNsc3RRIHmoM,Hoy Todos Mis Dias,Juan Gabriel,https://i.scdn.co/image/ab67616d00004851c04e144ad0808a6e2af9d8a6
63703,5fuiYDXvDMVqsa3o8B8KLR,No Hay Tregua,Barricada,https://i.scdn.co/image/ab67616d00004851f3dba292bf8bb98b2564d964
303331,6t4WI9yLHtlH63J8YixDii,"Real Tears for Sale - Live in Port Zélande, 2009",Marillion,https://i.scdn.co/image/ab67616d00004851b723762271179f773c03f251
473001,7pZeilHiviEcN6reQk24Ft,Si Se Calla el Cantor,Hermetica,https://i.scdn.co/image/ab67616d000048511e2cb56f760d6277fbd32017
468482,1yYUIjT3bZ9RB9vejqYy9f,What A Beautiful Name - Live,Hillsong Worship,https://i.scdn.co/image/ab67616d0000485143086d43c41dbfc2f7117456
104745,1rWHnBJbQYxNoUo894ZN5s,On the Turning Away - Live,Pink Floyd,https://i.scdn.co/image/ab67616d00004851807780eda29bee39afdc99d9
167961,6h5vM2FkcLAH0T3n5vXGdN,On The Turning Away - Live,Pink Floyd,https://i.scdn.co/image/ab67616d000048517946212e06e309d833b7999e
333385,3UrnpCBQyiWGCbZvsJsdck,Eu Me Rendo,Renascer Praise,https://i.scdn.co/image/ab67616d0000485186ca2308f5f1c64fccdd974b
51766,6TBJCwgdhwkzjpSjdqJUHC,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",Cheap Trick,https://i.scdn.co/image/ab67616d00004851e8d8639f8f99d2302f7bc46f
303335,7fAALWneUM9kA7aaBRCj6B,"Map of the World - Live in Port Zélande, 2009",Marillion,https://i.scdn.co/image/ab67616d00004851b723762271179f773c03f251
82775,5sfxoqIxS5glV1NDJcWBYH,Demon - Live in Krakow 2009,Millenium,https://i.scdn.co/image/ab67616d000048519f5d1fac18c984e43a61e014
117720,0QI38in0PP6LVZSl6NnKaI,Amor Eterno (En Vivo) - En el Palacio de Bellas Artes,Juan Gabriel,https://i.scdn.co/image/ab67616d000048510bd9c13df09600092cec078d
253534,3I7VRZMb3ogd4sQA5rsXOi,Sataman - En Vivo,Trotsky Vengarán,https://i.scdn.co/image/ab67616d000048517957598c80847ee4c6968a2e
407517,49PvwsDPfrg7vmzmXLQXgp,Born To Be Wild,Steppenwolf,https://i.scdn.co/image/ab67616d000048511e52290687d9dad09f278f3a
261941,0uUC5b0Zei48gVFeYduQnU,Wherever I May Roam - Live,Metallica,https://i.scdn.co/image/ab67616d000048512a2e23c85aef280bffd824e7
379474,1wiSTLjOcwy5Bu69Ia1veC,Ces idées là,Louis Bertignac,https://i.scdn.co/image/ab67616d00004851dec4c04a9a9c03c4696de081
434214,5TYmoUAjHy9gyx88gHw2mw,Revelação - Ao Vivo,Fagner,https://i.scdn.co/image/ab67616d0000485170dbfb643efbc9fa1bd18b41
89446,1lEk3U3MzbDeL5MNHkE9JU,O Come to the Altar (Live),Elevation Worship,https://i.scdn.co/image/ab67616d0000485190e22400e515676843c29fe0
69952,1HUcU3GAKCR960czpLbqoD,"Sludge Factory - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,https://i.scdn.co/image/ab67616d00004851f2b6bebda774909d71e0f796
280074,2bKQZy9sGnWnXBQjWbeg9k,"Replicas - (Live at Shibuya O-nest, Tokyo, 2020)",Seventeen Years Old And Berlin Wall,https://i.scdn.co/image/ab67616d000048511e966d617108b88446da4c57
558681,2hOWFZ8L43tNRwhjve1S79,"複製品たち - (Live at Shibuya O-nest, Tokyo, 2020)",Seventeen Years Old And Berlin Wall,https://i.scdn.co/image/ab67616d0000485156e0fc6426f5ef8a58028175
