487630,2gT1NQVk1v6S8KLuqz7KEY,Beneath the Surface - Komarovski Remix,Hard-Tex,https://i.scdn.co/image/ab67616d0000485173c1895c57adf20c18558a5a
90680,1lCiNyq3MRLClNzK7PFoyE,On The Edge,DJ Isaac,https://i.scdn.co/image/ab67616d00004851456a378df218ac3fd0ec1217
487021,2skRw1CiEZZMLzGu1q4HWE,Put Your Hands Up For Detroit (Club Mix),Fedde Le Grand,https://i.scdn.co/image/ab67616d000048513dca3067b6ff938714ddf965
198512,5wxjck7dyX5FyEQqTh57xo,The Horizon Has Been Defeated - Karaoke Version In the Style of Jack Johnson,Charttraxx Karaoke,https://i.scdn.co/image/ab67616d0000485184235c2812b3db65ad7d7194
111506,556scNgTS36Qo543DZEGGK,Put Your Hands Up For Detroit - Dub Mix,Fedde Le Grand,https://i.scdn.co/image/ab67616d00004851871816683c6217970c508cbe
456079,7CNABu1fN2VF63G4myIojV,This Is What It Feels Like - David Guetta Remix,Armin van Buuren; Trevor Guthrie; David Guetta,https://i.scdn.co/image/ab67616d000048512934e6699e6c2dfbb7dde490
157925,0aB21Ili2XuTsfKvq4ZLtR,This Is What It Feels Like - David Guetta Remix,Armin van Buuren; Trevor Guthrie; David Guetta,https://i.scdn.co/image/ab67616d00004851335fb1947e18d516a7f97bd7
130968,5bwMVRMp4PcSjCfeqOmcy2,It's Just Because - Patrick Lindsey Remix,M.In; Patrick Lindsey,https://i.scdn.co/image/ab67616d0000485145cf831b0d226ce49a2da3d0
348354,3uQjkEdsBvz67cefl7FrHq,Hey-A-Wa,Aldus Haza,https://i.scdn.co/image/ab67616d0000485150932dd556eb3c52901eb0f9
348733,3d8CnGa7TtZXsKM5zDOhKy,Oxygene - Hard Rave Version,Atmospheric,https://i.scdn.co/image/ab67616d00004851193884783b72c61193f490fa
385916,5B5nloaA2UpNrjweosqVe3,Telephasic Workshop,Boards of Canada,https://i.scdn.co/image/ab67616d000048510ddcb1077d30a5ffb59b6864
158005,23iB7fMgEQRFncvnQMV54k,Maximum Force,Zany,https://i.scdn.co/image/ab67616d00004851456a378df218ac3fd0ec1217
380490,0XLd1bUrYZ4SrOE1x6Dtej,I Love Tek - Binum Mix,Bountyhunter,https://i.scdn.co/image/ab67616d00004851d01c69ae8d8a33f0f2618ca9
310127,1SRZGlXELF0rpaZ6rVURCp,(X-Ray) Follow Me (feat. The Grim Reaper),Space Frog; Grim Reaper,https://i.scdn.co/image/ab67616d00004851d25ac0ad3fcb8e48ed8697f7
157973,21oyywIz6Zn8oM0qQFo4n9,The Aftershock,Phuture Noize,https://i.scdn.co/image/ab67616d0000485186f7ba6dc146808b43fb369a
323458,3qPXWPkEZgUhUgPifbE99z,WOW,Tiësto,https://i.scdn.co/image/ab67616d0000485196a02d0546177208698e33ec
128824,1nluqUxDKnwWyScYVeQHXa,Rock'n Roll,Daft Punk,https://i.scdn.co/image/ab67616d000048518ac778cc7d88779f74d33311
